Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
FACILITIES MANAGEMENT	5586-52	2020-07-30	2020-08-03	THE HOME DEPOT #7001	53.28	CAD	53.28	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61607923	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	COMMAND
FACILITIES MANAGEMENT	5593-11	2020-08-10	2020-08-11	G.K. CHEMICAL	67.24	CAD	67.24	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61615544	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7349	"Cleaning and Maintenance, Janitorial Ser"	ROLL HOLDERS
FACILITIES MANAGEMENT	5594-23	2020-08-10	2020-08-12	THE HOME DEPOT #7012	22.45	CAD	22.45	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61619400	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	D PAS OLY SS
FACILITIES MANAGEMENT	5595-27	2020-08-11	2020-08-13	THE HOME DEPOT #7012	222.01	CAD	222.01	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61592058	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  BOLT
FACILITIES MANAGEMENT	5596-26	2020-08-12	2020-08-14	THE HOME DEPOT #7012	19.90	CAD	19.90	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61592058	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	ROOF REPR
FACILITIES MANAGEMENT	5597-48	2020-08-13	2020-08-17	THE HOME DEPOT #7107	123.51	CAD	123.51	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61614826	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  3/16X2-1/4HX
FACILITIES MANAGEMENT	5600-29	2020-08-18	2020-08-20	THE HOME DEPOT #7001	21.97	CAD	21.97	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61620307	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	EZ SAND TAN
FACILITIES MANAGEMENT	5600-30	2020-08-18	2020-08-20	THE HOME DEPOT #7001	128.09	CAD	128.09	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61607552	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  HDX4PK BRUSH
FACILITIES MANAGEMENT	5602-35	2020-08-21	2020-08-24	THE HOME DEPOT #7107	70.53	CAD	70.53	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61619738	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	ENERGIZER
FACILITIES MANAGEMENT	5605-25	2020-08-25	2020-08-27	THE HOME DEPOT #7012	267.45	CAD	267.45	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61621932	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  DEADBOLT
