Division 	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO WATER	5857-5	2021-07-29	2021-07-30	LOWES #03321	578.06	CAD	578.06	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5200	Home Supply Warehouse	**MORE**  1/2HP CI/ZINC SUMP W/VERT FLOAT
					"1,526.65"	CAD	"1,526.65"	CAD							
FIRE SERVICES	5839-2	2021-07-05	2021-07-07	TOROMONT INDUSTRIES LT	"18,039.82"	CAD	"18,039.82"	CAD	2120	PARTS - MACHINERY & EQUIPMENT	FR0038	MECH MAINTENANCE - MARINE SECTION	7538	Automotive Service Shops	ENGINE PARTS FOR WLM LYON MACKENZIE FIRE BOAT
FIRE SERVICES	5855-8	2021-07-26	2021-07-28	MTO RUS-SO NORTH YORK	12.00	CAD	12.00	CAD	4830	PERMIT & LICENSE FEES	FR0025	MECHANICAL MAINT-VEHICLE MAINT	9399	Government Services - Not Elsewhere Clas	OWNERSHIP FOR TFS UNIT #27052 (T333)
FIRE SERVICES	5856-5	2021-07-27	2021-07-29	MTO RUS-SO NORTH YORK	35.00	CAD	35.00	CAD	4830	PERMIT & LICENSE FEES	FR0025	MECHANICAL MAINT-VEHICLE MAINT	9399	Government Services - Not Elsewhere Clas	LICENSING FOR TFS UNIT #27052 (T333)
					"18,086.82"	CAD	"18,086.82"	CAD							
"PARKS, FORESTRY & RECREATION"	5838-1	2021-07-05	2021-07-06	NOBLE 1038	255.06	CAD	255.06	CAD	2535	PLUMBING SUPPLIES	P07705	ORIOLE CC-OPERATIONS	5251	Hardware Stores	FILL VALVE - DIAPHRAGM
"PARKS, FORESTRY & RECREATION"	5842-3	2021-07-08	2021-07-09	NOBLE 1039	93.64	CAD	93.64	CAD	2535	PLUMBING SUPPLIES	P00409	N-EAST1-TURF&HORT	5251	Hardware Stores	DRAIN DEVIL
"PARKS, FORESTRY & RECREATION"	5845-1	2021-07-13	2021-07-14	NOBLE 1038	760.43	CAD	760.43	CAD	2535	PLUMBING SUPPLIES	P06693	SENECA VILLAGE CC-OPERATIONS	5251	Hardware Stores	D. WATER METER - CONSUMERS S.P.
"PARKS, FORESTRY & RECREATION"	5845-2	2021-07-13	2021-07-14	NOBLE 1038	228.36	CAD	228.36	CAD	2535	PLUMBING SUPPLIES	P06693	SENECA VILLAGE CC-OPERATIONS	5251	Hardware Stores	FLANGE AND GASKET
"PARKS, FORESTRY & RECREATION"	5846-11	2021-07-14	2021-07-15	NOBLE 1038	67.87	CAD	67.87	CAD	2575	ELECTRICAL SUPPLIES	P00409	N-EAST1-TURF&HORT	5251	Hardware Stores	120 U ELEMENTS
"PARKS, FORESTRY & RECREATION"	5848-4	2021-07-16	2021-07-19	NOBLE 1039	672.08	CAD	672.08	CAD	2575	ELECTRICAL SUPPLIES	P00409	N-EAST1-TURF&HORT	5251	Hardware Stores	14 GALLON - HEATER
"PARKS, FORESTRY & RECREATION"	5852-4	2021-07-22	2021-07-23	CENTENNIAL PLUMBING SU	72.15	CAD	72.15	CAD	2535	PLUMBING SUPPLIES	P00409	N-EAST1-TURF&HORT	1711	"Air Conditioning, Heating, and Plumbing"	TREP AND UNILEV
"PARKS, FORESTRY & RECREATION"	5852-5	2021-07-22	2021-07-23	NOBLE 1038	36.94	CAD	36.94	CAD	2535	PLUMBING SUPPLIES	P06686	EDITHVALE CC-OPERATIONS	5251	Hardware Stores	GASKET AND BELTS
					"2,186.53"	CAD	"2,186.53"	CAD							
